location_name,date,deaths,lower,upper,model_date,model
Republic of Congo,2020-03-10,0,0,0,2020-08-09,lanl
Costa Rica,2020-03-10,0,0,0,2020-08-09,lanl
Cote d'Ivoire,2020-03-10,0,0,0,2020-08-09,lanl
Croatia,2020-03-10,0,0,0,2020-08-09,lanl
Cuba,2020-03-10,0,0,0,2020-08-09,lanl
Czechia,2020-03-10,0,0,0,2020-08-09,lanl
Democratic Republic of the Congo,2020-03-10,0,0,0,2020-08-09,lanl
Denmark,2020-03-10,0,0,0,2020-08-09,lanl
Djibouti,2020-03-10,0,0,0,2020-08-09,lanl
Dominican Republic,2020-03-10,0,0,0,2020-08-09,lanl
Ecuador,2020-03-10,0,0,0,2020-08-09,lanl
Egypt,2020-03-10,1,1,1,2020-08-09,lanl
El Salvador,2020-03-10,0,0,0,2020-08-09,lanl
Equatorial Guinea,2020-03-10,0,0,0,2020-08-09,lanl
Estonia,2020-03-10,0,0,0,2020-08-09,lanl
Eswatini,2020-03-10,0,0,0,2020-08-09,lanl
Ethiopia,2020-03-10,0,0,0,2020-08-09,lanl
Finland,2020-03-10,0,0,0,2020-08-09,lanl
France,2020-03-10,33,33,33,2020-08-09,lanl
Gabon,2020-03-10,0,0,0,2020-08-09,lanl
Gambia,2020-03-10,0,0,0,2020-08-09,lanl
Germany,2020-03-10,2,2,2,2020-08-09,lanl
Ghana,2020-03-10,0,0,0,2020-08-09,lanl
Greece,2020-03-10,0,0,0,2020-08-09,lanl
Guatemala,2020-03-10,0,0,0,2020-08-09,lanl
Guinea,2020-03-10,0,0,0,2020-08-09,lanl
Guinea-Bissau,2020-03-10,0,0,0,2020-08-09,lanl
Guyana,2020-03-10,0,0,0,2020-08-09,lanl
Haiti,2020-03-10,0,0,0,2020-08-09,lanl
Honduras,2020-03-10,0,0,0,2020-08-09,lanl
Hungary,2020-03-10,0,0,0,2020-08-09,lanl
India,2020-03-10,0,0,0,2020-08-09,lanl
Indonesia,2020-03-10,0,0,0,2020-08-09,lanl
Iran,2020-03-10,291,291,291,2020-08-09,lanl
Iraq,2020-03-10,7,7,7,2020-08-09,lanl
Ireland,2020-03-10,0,0,0,2020-08-09,lanl
Israel,2020-03-10,0,0,0,2020-08-09,lanl
Italy,2020-03-10,631,631,631,2020-08-09,lanl
Japan,2020-03-10,13,13,13,2020-08-09,lanl
Kazakhstan,2020-03-10,0,0,0,2020-08-09,lanl
Kenya,2020-03-10,0,0,0,2020-08-09,lanl
Kosovo,2020-03-10,0,0,0,2020-08-09,lanl
Kuwait,2020-03-10,0,0,0,2020-08-09,lanl
Kyrgyzstan,2020-03-10,0,0,0,2020-08-09,lanl
Latvia,2020-03-10,0,0,0,2020-08-09,lanl
Lebanon,2020-03-10,1,1,1,2020-08-09,lanl
Lesotho,2020-03-10,0,0,0,2020-08-09,lanl
Liberia,2020-03-10,0,0,0,2020-08-09,lanl
Libya,2020-03-10,0,0,0,2020-08-09,lanl
Lithuania,2020-03-10,0,0,0,2020-08-09,lanl
Luxembourg,2020-03-10,0,0,0,2020-08-09,lanl
Madagascar,2020-03-10,0,0,0,2020-08-09,lanl
Malawi,2020-03-10,0,0,0,2020-08-09,lanl
Malaysia,2020-03-10,0,0,0,2020-08-09,lanl
Mali,2020-03-10,0,0,0,2020-08-09,lanl
Mauritania,2020-03-10,0,0,0,2020-08-09,lanl
Mexico,2020-03-10,0,0,0,2020-08-09,lanl
Moldova,2020-03-10,0,0,0,2020-08-09,lanl
Montenegro,2020-03-10,0,0,0,2020-08-09,lanl
Morocco,2020-03-10,1,1,1,2020-08-09,lanl
Nepal,2020-03-10,0,0,0,2020-08-09,lanl
Netherlands,2020-03-10,4,4,4,2020-08-09,lanl
New Zealand,2020-03-10,0,0,0,2020-08-09,lanl
Nicaragua,2020-03-10,0,0,0,2020-08-09,lanl
Niger,2020-03-10,0,0,0,2020-08-09,lanl
Nigeria,2020-03-10,0,0,0,2020-08-09,lanl
North Macedonia,2020-03-10,0,0,0,2020-08-09,lanl
Norway,2020-03-10,0,0,0,2020-08-09,lanl
Oman,2020-03-10,0,0,0,2020-08-09,lanl
Pakistan,2020-03-10,0,0,0,2020-08-09,lanl
Panama,2020-03-10,0,0,0,2020-08-09,lanl
Paraguay,2020-03-10,0,0,0,2020-08-09,lanl
Peru,2020-03-10,0,0,0,2020-08-09,lanl
Philippines,2020-03-10,1,1,1,2020-08-09,lanl
Poland,2020-03-10,0,0,0,2020-08-09,lanl
Portugal,2020-03-10,0,0,0,2020-08-09,lanl
Qatar,2020-03-10,0,0,0,2020-08-09,lanl
Romania,2020-03-10,0,0,0,2020-08-09,lanl
Russia,2020-03-10,0,0,0,2020-08-09,lanl
San Marino,2020-03-10,2,2,2,2020-08-09,lanl
Saudi Arabia,2020-03-10,0,0,0,2020-08-09,lanl
Senegal,2020-03-10,0,0,0,2020-08-09,lanl
Serbia,2020-03-10,0,0,0,2020-08-09,lanl
Sierra Leone,2020-03-10,0,0,0,2020-08-09,lanl
Singapore,2020-03-10,0,0,0,2020-08-09,lanl
Slovakia,2020-03-10,0,0,0,2020-08-09,lanl
Slovenia,2020-03-10,0,0,0,2020-08-09,lanl
Somalia,2020-03-10,0,0,0,2020-08-09,lanl
South Africa,2020-03-10,0,0,0,2020-08-09,lanl
South Korea,2020-03-10,54,54,54,2020-08-09,lanl
South Sudan,2020-03-10,0,0,0,2020-08-09,lanl
Spain,2020-03-10,35,35,35,2020-08-09,lanl
Sudan,2020-03-10,0,0,0,2020-08-09,lanl
Suriname,2020-03-10,0,0,0,2020-08-09,lanl
Sweden,2020-03-10,0,0,0,2020-08-09,lanl
Switzerland,2020-03-10,3,3,3,2020-08-09,lanl
Syria,2020-03-10,0,0,0,2020-08-09,lanl
Tajikistan,2020-03-10,0,0,0,2020-08-09,lanl
Tanzania,2020-03-10,0,0,0,2020-08-09,lanl
Thailand,2020-03-10,1,1,1,2020-08-09,lanl
Togo,2020-03-10,0,0,0,2020-08-09,lanl
Tunisia,2020-03-10,0,0,0,2020-08-09,lanl
Turkey,2020-03-10,0,0,0,2020-08-09,lanl
Ukraine,2020-03-10,0,0,0,2020-08-09,lanl
United Arab Emirates,2020-03-10,0,0,0,2020-08-09,lanl
United Kingdom,2020-03-10,7,7,7,2020-08-09,lanl
Uruguay,2020-03-10,0,0,0,2020-08-09,lanl
US,2020-03-10,28,28,28,2020-08-09,lanl
Uzbekistan,2020-03-10,0,0,0,2020-08-09,lanl
Venezuela,2020-03-10,0,0,0,2020-08-09,lanl
West Bank and Gaza,2020-03-10,0,0,0,2020-08-09,lanl
Yemen,2020-03-10,0,0,0,2020-08-09,lanl
Zambia,2020-03-10,0,0,0,2020-08-09,lanl
Zimbabwe,2020-03-10,0,0,0,2020-08-09,lanl
Afghanistan,2020-03-11,0,0,0,2020-08-09,lanl
Albania,2020-03-11,1,1,1,2020-08-09,lanl
Algeria,2020-03-11,0,0,0,2020-08-09,lanl
Andorra,2020-03-11,0,0,0,2020-08-09,lanl
Angola,2020-03-11,0,0,0,2020-08-09,lanl
Argentina,2020-03-11,1,1,1,2020-08-09,lanl
Armenia,2020-03-11,0,0,0,2020-08-09,lanl
Australia,2020-03-11,3,3,3,2020-08-09,lanl
Austria,2020-03-11,0,0,0,2020-08-09,lanl
Azerbaijan,2020-03-11,0,0,0,2020-08-09,lanl
Bahrain,2020-03-11,0,0,0,2020-08-09,lanl
Bangladesh,2020-03-11,0,0,0,2020-08-09,lanl
Belarus,2020-03-11,0,0,0,2020-08-09,lanl
Belgium,2020-03-11,3,3,3,2020-08-09,lanl
Benin,2020-03-11,0,0,0,2020-08-09,lanl
Bolivia,2020-03-11,0,0,0,2020-08-09,lanl
Bosnia and Herzegovina,2020-03-11,0,0,0,2020-08-09,lanl
Brazil,2020-03-11,0,0,0,2020-08-09,lanl
Bulgaria,2020-03-11,1,1,1,2020-08-09,lanl
Burkina Faso,2020-03-11,0,0,0,2020-08-09,lanl
Cabo Verde,2020-03-11,0,0,0,2020-08-09,lanl
Cameroon,2020-03-11,0,0,0,2020-08-09,lanl
Canada,2020-03-11,1,1,1,2020-08-09,lanl
Central African Republic,2020-03-11,0,0,0,2020-08-09,lanl
Chad,2020-03-11,0,0,0,2020-08-09,lanl
Chile,2020-03-11,0,0,0,2020-08-09,lanl
China,2020-03-11,3161,3161,3161,2020-08-09,lanl
Colombia,2020-03-11,0,0,0,2020-08-09,lanl
Republic of Congo,2020-03-11,0,0,0,2020-08-09,lanl
Costa Rica,2020-03-11,0,0,0,2020-08-09,lanl
Cote d'Ivoire,2020-03-11,0,0,0,2020-08-09,lanl
Croatia,2020-03-11,0,0,0,2020-08-09,lanl
Cuba,2020-03-11,0,0,0,2020-08-09,lanl
Czechia,2020-03-11,0,0,0,2020-08-09,lanl
Democratic Republic of the Congo,2020-03-11,0,0,0,2020-08-09,lanl
Denmark,2020-03-11,0,0,0,2020-08-09,lanl
Djibouti,2020-03-11,0,0,0,2020-08-09,lanl
Dominican Republic,2020-03-11,0,0,0,2020-08-09,lanl
Ecuador,2020-03-11,0,0,0,2020-08-09,lanl
Egypt,2020-03-11,1,1,1,2020-08-09,lanl
El Salvador,2020-03-11,0,0,0,2020-08-09,lanl
Equatorial Guinea,2020-03-11,0,0,0,2020-08-09,lanl
Estonia,2020-03-11,0,0,0,2020-08-09,lanl
Eswatini,2020-03-11,0,0,0,2020-08-09,lanl
Ethiopia,2020-03-11,0,0,0,2020-08-09,lanl
Finland,2020-03-11,0,0,0,2020-08-09,lanl
France,2020-03-11,48,48,48,2020-08-09,lanl
Gabon,2020-03-11,0,0,0,2020-08-09,lanl
Gambia,2020-03-11,0,0,0,2020-08-09,lanl
Germany,2020-03-11,3,3,3,2020-08-09,lanl
Ghana,2020-03-11,0,0,0,2020-08-09,lanl
Greece,2020-03-11,1,1,1,2020-08-09,lanl
Guatemala,2020-03-11,0,0,0,2020-08-09,lanl
Guinea,2020-03-11,0,0,0,2020-08-09,lanl
Guinea-Bissau,2020-03-11,0,0,0,2020-08-09,lanl
Guyana,2020-03-11,0,0,0,2020-08-09,lanl
Haiti,2020-03-11,0,0,0,2020-08-09,lanl
Honduras,2020-03-11,0,0,0,2020-08-09,lanl
Hungary,2020-03-11,0,0,0,2020-08-09,lanl
India,2020-03-11,1,1,1,2020-08-09,lanl
Indonesia,2020-03-11,1,1,1,2020-08-09,lanl
Iran,2020-03-11,354,354,354,2020-08-09,lanl
Iraq,2020-03-11,7,7,7,2020-08-09,lanl
Ireland,2020-03-11,1,1,1,2020-08-09,lanl
Israel,2020-03-11,0,0,0,2020-08-09,lanl
Italy,2020-03-11,827,827,827,2020-08-09,lanl
Japan,2020-03-11,15,15,15,2020-08-09,lanl
Kazakhstan,2020-03-11,0,0,0,2020-08-09,lanl
Kenya,2020-03-11,0,0,0,2020-08-09,lanl
Kosovo,2020-03-11,0,0,0,2020-08-09,lanl
Kuwait,2020-03-11,0,0,0,2020-08-09,lanl
Kyrgyzstan,2020-03-11,0,0,0,2020-08-09,lanl
Latvia,2020-03-11,0,0,0,2020-08-09,lanl
Lebanon,2020-03-11,3,3,3,2020-08-09,lanl
Lesotho,2020-03-11,0,0,0,2020-08-09,lanl
Liberia,2020-03-11,0,0,0,2020-08-09,lanl
Libya,2020-03-11,0,0,0,2020-08-09,lanl
Lithuania,2020-03-11,0,0,0,2020-08-09,lanl
Luxembourg,2020-03-11,0,0,0,2020-08-09,lanl
Madagascar,2020-03-11,0,0,0,2020-08-09,lanl
Malawi,2020-03-11,0,0,0,2020-08-09,lanl
Malaysia,2020-03-11,0,0,0,2020-08-09,lanl
Mali,2020-03-11,0,0,0,2020-08-09,lanl
Mauritania,2020-03-11,0,0,0,2020-08-09,lanl
Mexico,2020-03-11,0,0,0,2020-08-09,lanl
Moldova,2020-03-11,0,0,0,2020-08-09,lanl
Montenegro,2020-03-11,0,0,0,2020-08-09,lanl
Morocco,2020-03-11,1,1,1,2020-08-09,lanl
Nepal,2020-03-11,0,0,0,2020-08-09,lanl
Netherlands,2020-03-11,5,5,5,2020-08-09,lanl
New Zealand,2020-03-11,0,0,0,2020-08-09,lanl
Nicaragua,2020-03-11,0,0,0,2020-08-09,lanl
Niger,2020-03-11,0,0,0,2020-08-09,lanl
Nigeria,2020-03-11,0,0,0,2020-08-09,lanl
North Macedonia,2020-03-11,0,0,0,2020-08-09,lanl
Norway,2020-03-11,0,0,0,2020-08-09,lanl
Oman,2020-03-11,0,0,0,2020-08-09,lanl
Pakistan,2020-03-11,0,0,0,2020-08-09,lanl
Panama,2020-03-11,1,1,1,2020-08-09,lanl
Paraguay,2020-03-11,0,0,0,2020-08-09,lanl
Peru,2020-03-11,0,0,0,2020-08-09,lanl
Philippines,2020-03-11,1,1,1,2020-08-09,lanl
Poland,2020-03-11,0,0,0,2020-08-09,lanl
Portugal,2020-03-11,0,0,0,2020-08-09,lanl
Qatar,2020-03-11,0,0,0,2020-08-09,lanl
Romania,2020-03-11,0,0,0,2020-08-09,lanl
Russia,2020-03-11,0,0,0,2020-08-09,lanl
San Marino,2020-03-11,2,2,2,2020-08-09,lanl
Saudi Arabia,2020-03-11,0,0,0,2020-08-09,lanl
Senegal,2020-03-11,0,0,0,2020-08-09,lanl
Serbia,2020-03-11,0,0,0,2020-08-09,lanl
Sierra Leone,2020-03-11,0,0,0,2020-08-09,lanl
Singapore,2020-03-11,0,0,0,2020-08-09,lanl
Slovakia,2020-03-11,0,0,0,2020-08-09,lanl
Slovenia,2020-03-11,0,0,0,2020-08-09,lanl
Somalia,2020-03-11,0,0,0,2020-08-09,lanl
South Africa,2020-03-11,0,0,0,2020-08-09,lanl
South Korea,2020-03-11,60,60,60,2020-08-09,lanl
South Sudan,2020-03-11,0,0,0,2020-08-09,lanl
Spain,2020-03-11,54,54,54,2020-08-09,lanl
Sudan,2020-03-11,0,0,0,2020-08-09,lanl
Suriname,2020-03-11,0,0,0,2020-08-09,lanl
Sweden,2020-03-11,1,1,1,2020-08-09,lanl
Switzerland,2020-03-11,4,4,4,2020-08-09,lanl
Syria,2020-03-11,0,0,0,2020-08-09,lanl
Tajikistan,2020-03-11,0,0,0,2020-08-09,lanl
Tanzania,2020-03-11,0,0,0,2020-08-09,lanl
Thailand,2020-03-11,1,1,1,2020-08-09,lanl
