,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
36,0,2020/6/14,0,2092912,2112731,2136401,2163465,2191991,2223553,2255823,2280971,2313123,2350198,2386074,2426391,2472385,2513731,2554461,2096048.0,2117579.0,2139127.0,2160648.0,2182131.0,2203546.0,2224880.0,2246181.0,2267421.0,2288587.0,2309667.0,2330653.0,2351538.0,2372316.0,2392985.0
37,0,2020/6/15,0,2112731,2136401,2163465,2191991,2223553,2255823,2280971,2313123,2350198,2386074,2426391,2472385,2513731,2554461,2595744,2115389.0,2136371.0,2157267.0,2178058.0,2198712.0,2219208.0,2239581.0,2259841.0,2279966.0,2299942.0,2319762.0,2339418.0,2358908.0,2378232.0,2397384.0
38,0,2020/6/16,0,2136401,2163465,2191991,2223553,2255823,2280971,2313123,2350198,2386074,2426391,2472385,2513731,2554461,2595744,2642174,2135075.0,2156063.0,2176979.0,2197796.0,2218501.0,2239132.0,2259705.0,2280159.0,2300500.0,2320720.0,2340814.0,2360777.0,2380608.0,2400299.0,2419840.0
39,0,2020/6/17,0,2163465,2191991,2223553,2255823,2280971,2313123,2350198,2386074,2426391,2472385,2513731,2554461,2595744,2642174,2693993,2159565.0,2181419.0,2203281.0,2225148.0,2247069.0,2269073.0,2291116.0,2313132.0,2335138.0,2357131.0,2379109.0,2401066.0,2422994.0,2444876.0,2466701.0
40,0,2020/6/18,0,2191991,2223553,2255823,2280971,2313123,2350198,2386074,2426391,2472385,2513731,2554461,2595744,2642174,2693993,2750622,2186164.0,2209152.0,2232265.0,2255560.0,2279079.0,2302797.0,2326671.0,2350643.0,2374734.0,2398944.0,2423272.0,2447708.0,2472233.0,2496832.0,2521491.0
41,0,2020/6/19,0,2223553,2255823,2280971,2313123,2350198,2386074,2426391,2472385,2513731,2554461,2595744,2642174,2693993,2750622,2801983,2215043.0,2239191.0,2263606.0,2288333.0,2313360.0,2338655.0,2364175.0,2389905.0,2415851.0,2442015.0,2468388.0,2494952.0,2521692.0,2548591.0,2575640.0
42,0,2020/6/20,0,2255823,2280971,2313123,2350198,2386074,2426391,2472385,2513731,2554461,2595744,2642174,2693993,2750622,2801983,2847664,2247804.0,2273357.0,2299284.0,2325576.0,2352208.0,2379145.0,2406372.0,2433898.0,2461714.0,2489810.0,2518172.0,2546783.0,2575626.0,2604691.0,2633965.0
43,0,2020/6/21,0,2280971,2313123,2350198,2386074,2426391,2472385,2513731,2554461,2595744,2642174,2693993,2750622,2801983,2847664,2898432,2281675.0,2308406.0,2335509.0,2362958.0,2390715.0,2418759.0,2447092.0,2475746.0,2504683.0,2533888.0,2563343.0,2593031.0,2622939.0,2653057.0,2683370.0
44,0,2020/6/22,0,2313123,2350198,2386074,2426391,2472385,2513731,2554461,2595744,2642174,2693993,2750622,2801983,2847664,2898432,2941517,2308147.0,2334817.0,2361740.0,2388873.0,2416186.0,2443667.0,2471331.0,2499199.0,2527227.0,2555397.0,2583691.0,2612096.0,2640600.0,2669192.0,2697858.0
45,0,2020/6/23,0,2350198,2386074,2426391,2472385,2513731,2554461,2595744,2642174,2693993,2750622,2801983,2847664,2898432,2941517,3002171,2339852.0,2367724.0,2395886.0,2424319.0,2453021.0,2482016.0,2511334.0,2540898.0,2570695.0,2600713.0,2630938.0,2661359.0,2691965.0,2722737.0,2753651.0
